"HGNC","logFC","logCPM","F","PValue","FDR"
"DHTKD1",-0.508301139945266,5.21667279337412,1.43724813029819,0.235340292127453,0.344779683932507
"DHX15",-0.0899936109119627,5.85537013805286,0.0436400044003439,0.835384552163906,0.878332236751514
"DHX16",0.0462624968049008,5.63671202575099,0.0133471196432806,0.908473112070953,0.933724466158787
"DHX29",-0.0746211436153374,5.42734294436061,0.0311793552536253,0.860492292539542,0.896909597999927
"DHX30",-0.786993824781162,5.88841382629956,4.45572286758444,0.0399131048747752,0.0936777854906643
"DHX32",-0.654406740922537,5.69478092326799,2.58746314904214,0.113925627437171,0.202823188307392
"DHX33",-0.809820330200238,4.69958197642879,4.49487396770084,0.0368920261455193,0.0883959098688919
"DHX34",-1.19395687559468,5.04167665443302,10.745682657188,0.00166656778586815,0.00826831957280122
"DHX35",-0.730302909945103,5.08813329681311,3.20823239453377,0.0780094869393147,0.154074211220612
"DHX36",0.0677677962083865,5.6511101132166,0.0224093303230232,0.881588205672682,0.912545475130557
"DHX37",-1.8867985146191,5.07621045678856,28.5952274659472,1.15862347267355e-06,2.76788375257021e-05
"DHX38",-0.902171304456128,5.80704394188986,7.07903960810991,0.0104741529457922,0.0341431646575275
"DHX40",-0.699755235678512,5.82745808628155,3.83914230970348,0.0557186127427236,0.120162130903518
"DHX57",-0.724368645115485,5.49622598413955,3.93303041275553,0.0525076718685979,0.114875725404649
"DHX58",-0.341120256427392,5.13105848162782,0.387148787156797,0.53607304943121,0.634013503323851
"DHX8",-0.283676971350135,5.85355450919984,0.583043879517686,0.448761776225043,0.556426334870048
"DHX9",0.0320089090844627,6.49887123952627,0.00456098051608412,0.946443809015367,0.962030199632344
"DIABLO",-0.83917145323643,4.80792021645393,4.71226666230072,0.0329780765485076,0.0812603020313724
"DIAPH1",-1.09204663860243,6.61615175796531,10.6625739466492,0.00205512249321665,0.00968238187749948
"DIAPH2",-0.477944139188998,6.08132656887928,1.37212375953128,0.247245285631937,0.357430984587154
"DIAPH3",-1.89681052964033,4.58295093891986,10.6823766635492,0.00151629432683208,0.00769701336366389
"DICER1",-0.166474863937533,6.53100289655167,0.16901023371339,0.682875766254892,0.756350057665457
"DIDO1",-0.695070243253907,6.32640595038768,3.84975546239984,0.0556897854309089,0.120134227572925
"DIMT1",-0.264963163147208,5.31431579139036,0.319040286685393,0.574401020555015,0.666980897860165
"DIO2",-2.3678469725351,4.32377769548115,21.3426457635887,1.62389171137695e-05,0.000208459171981683
"DIP2A",-0.791837436577216,5.99058411305592,4.52113179903972,0.0386110204589018,0.0913304945064154
"DIP2B",-0.302426186052127,5.86891595438325,0.508371840976429,0.479216852264233,0.584177125347822
"DIP2C",-1.40083831399564,5.45167800957387,11.8596414730565,0.00110715915248938,0.00599873188962536
"DIP2C-AS1",-2.4672494597338,4.49254952615,40.4817153357914,7.91380575779319e-09,6.57541597084333e-07
"DIPK1A",-0.787600708446265,4.57038293347343,4.04907358884121,0.0470625186797029,0.105967749772851
